movie_id,genre_id
0,0
0,1
0,2
1,1
1,2
1,0
2,0
2,1
2,3
3,0
3,3
3,4
4,0
4,1
4,5
5,2
5,0
5,1
6,6
6,7
7,0
7,1
7,5
8,1
8,2
8,7
9,0
9,1
9,2
10,1
10,2
10,0
11,1
11,0
11,8
12,1
12,2
12,0
13,0
13,1
13,9
14,0
14,1
14,2
15,1
15,7
15,2
16,5
16,0
16,1
17,1
17,0
17,2
18,0
18,10
18,5
19,0
19,1
19,2
20,0
20,1
20,2
21,0
21,1
22,1
22,2
23,1
23,2
24,1
24,4
24,0
25,4
25,11
25,8
26,1
26,0
26,5
27,8
27,0
27,1
28,0
28,1
28,5
29,0
29,1
29,8
30,0
30,1
30,2
31,0
31,1
31,5
32,7
32,2
32,1
33,1
33,0
33,5
34,6
34,7
35,5
35,0
35,1
36,5
36,0
36,1
37,2
37,1
37,7
38,0
38,1
38,2
39,1
39,0
39,5
40,6
40,7
40,1
41,1
41,0
41,8
42,6
42,7
42,10
43,0
43,5
43,8
44,0
45,0
45,4
45,12
46,0
46,1
46,2
47,0
47,1
47,5
48,0
48,7
48,2
49,4
49,11
50,1
50,2
50,0
51,0
51,5
51,1
52,0
52,5
52,1
53,1
53,0
54,1
54,6
54,7
55,6
55,1
55,10
56,0
56,1
56,5
57,6
57,7
58,0
58,10
58,3
59,0
59,1
59,5
60,6
60,4
61,5
61,2
61,0
62,0
62,1
63,1
63,7
63,2
64,5
65,4
65,0
65,3
66,6
66,10
66,7
67,6
67,7
67,1
68,0
68,5
68,1
69,1
69,4
69,7
70,0
70,1
70,10
71,1
71,0
71,2
72,0
72,1
72,3
73,2
73,10
73,7
74,0
74,5
75,1
75,0
76,1
76,0
76,8
77,4
77,10
77,6
78,7
78,1
78,4
79,1
79,0
79,5
80,1
80,2
80,4
81,2
81,1
81,0
82,5
82,0
82,4
83,0
83,1
83,5
84,4
84,0
84,1
85,0
85,1
85,5
86,10
86,1
86,2
87,1
87,7
87,13
88,1
88,7
88,6
89,7
89,6
89,10
90,1
90,6
90,7
91,0
91,1
91,5
92,2
92,1
92,6
93,0
93,8
93,5
94,0
94,5
94,1
95,1
95,4
95,5
96,0
96,8
96,5
97,0
97,1
97,4
98,1
98,2
98,0
99,0
99,3
99,8
100,2
100,4
100,8
101,0
101,5
101,1
102,0
102,1
102,5
103,2
103,1
103,0
104,1
104,0
104,4
105,2
106,2
106,1
106,6
107,0
107,1
107,2
108,5
108,0
108,8
109,1
109,7
109,2
110,14
110,11
110,15
111,1
111,5
111,0
112,15
112,14
112,0
113,1
113,2
113,7
114,1
114,2
114,7
115,2
115,0
116,4
116,12
116,0
117,1
117,10
117,7
118,6
118,10
118,7
119,0
119,3
119,4
120,7
120,6
121,1
121,2
121,0
122,1
122,0
122,8
123,1
123,0
123,8
124,6
124,1
124,7
125,1
125,0
125,8
126,0
126,1
126,2
127,0
127,1
127,5
128,8
128,13
129,1
129,2
129,0
130,6
130,7
130,1
131,2
131,0
131,1
132,1
133,10
133,2
134,0
134,1
134,8
135,4
135,12
135,8
136,7
136,6
136,1
137,6
137,7
138,0
138,1
138,7
139,1
139,0
139,8
140,0
140,4
140,8
141,1
141,6
141,7
142,1
142,6
142,10
143,1
143,7
143,2
144,6
144,1
144,7
145,1
145,4
145,15
146,6
146,7
147,1
147,0
147,8
148,0
148,2
148,10
149,0
149,8
149,5
150,0
150,1
150,10
151,1
151,0
151,6
152,0
152,1
152,6
153,0
153,8
153,1
154,2
154,6
154,7
155,10
156,4
156,0
156,15
157,1
157,4
157,0
158,5
158,0
158,1
159,2
159,0
160,2
160,0
160,1
161,2
162,0
163,0
163,13
163,5
164,0
164,1
164,10
165,4
165,0
165,5
166,1
166,0
166,5
167,0
167,1
167,10
168,1
168,0
168,6
169,0
169,1
169,5
170,1
170,0
170,8
171,1
172,1
172,2
172,4
173,6
173,10
173,7
174,5
174,0
174,1
175,1
175,7
175,2
176,9
176,4
176,1
177,6
177,7
178,6
178,10
178,7
179,7
179,6
179,1
180,0
180,4
180,13
181,1
181,6
181,7
182,5
182,0
182,1
183,1
183,0
183,5
184,2
184,10
184,6
185,1
185,8
185,5
186,1
186,0
186,10
187,0
187,1
187,6
188,0
188,13
188,8
189,4
189,1
190,1
190,6
190,13
191,1
191,2
191,7
192,4
193,5
193,0
193,1
194,6
194,7
195,1
195,10
